歌手：You+Me,所属专辑：rose ave.,Break the Cycle,29418400,5163,[16547, 8991, 5689, 5491, 3328, 3304, 2012, 1010, 706, 445, 401, 365, 279, 267, 205]
歌手：Shayne Ward,所属专辑：Breathless,Until You,19081573,40606,[74932, 57719, 36684, 24603, 22770, 14530, 14320, 11080, 10394, 9965, 6159, 4135, 3747, 2852, 1232]
歌手：唐伯虎Annie,所属专辑：你离开后的天空,你离开后的天空,1323303687,1962,[1381, 383, 379, 167, 112, 104, 54, 22, 16, 14, 13, 12]
歌手：Jeremy Zucker / Bea Miller,所属专辑：comethru,comethru,1351923466,3552,[8144, 5234, 2909, 2419, 1859, 1448, 1124, 893, 418, 339, 202, 171, 130, 118, 113]
歌手：2Cellos,所属专辑：Despacito,Despacito,492003698,2462,[6844, 3954, 1415, 1111, 794, 568, 517, 429, 407, 389, 347, 182, 162, 159, 129]
歌手：Philippe Rombi,所属专辑：Dans la maison,La rédaction,29142151,1821,[2171, 1597, 1280, 1009, 761, 715, 655, 482, 370, 342, 265, 264, 188, 167, 142]
歌手：77 Bombay Street,所属专辑：Oko Town,Garden,25780279,1840,[887, 756, 380, 348, 211, 205, 151, 102, 38, 28, 20, 19, 18]
歌手：James Blunt,所属专辑：Moon Landing (Deluxe Edition),Always Hate Me,27853424,2783,[2486, 1308, 737, 613, 382, 381, 346, 213, 194, 102, 68, 61, 49, 32, 30]
歌手：刘珂矣,所属专辑：半壶纱,风筝误,32785674,19590,[75969, 57637, 43471, 32181, 13652, 12900, 12562, 8367, 5530, 4632, 3998, 2763, 2266, 1415, 1296]
歌手：Alec Benjamin / Alessia Cara,所属专辑：Let Me Down Slowly,Let Me Down Slowly,1338098071,6130,[8856, 8406, 6475, 5734, 2414, 2297, 1690, 1227, 721, 717, 621, 620, 580, 560, 494]
歌手：Soler,所属专辑：历久尝新,风的季节,26584442,56875,[90235, 63861, 58671, 38280, 34524, 32903, 15303, 6226, 5487, 4159, 2887, 2852, 2471, 2229, 1628]
歌手：武聆音雄,所属专辑：武侠音乐系列之喜气洋洋,玩世不恭,30031204,109,[97, 63, 52]
歌手：陈僖仪,所属专辑：All The Best 纪念全集,蜚蜚,26353080,12921,[21427, 18106, 11468, 9863, 7319, 6365, 5175, 4506, 4036, 2916, 2671, 2577, 2561, 2526, 1316]
歌手：王天戈,所属专辑：心安理得,心安理得,474739467,60027,[142548, 72535, 69625, 59011, 52395, 42509, 40855, 40699, 35339, 32356, 22678, 12724, 8145, 8023, 7323]
歌手：ANU,所属专辑：FLY-飞,FLY-飞,479422828,49713,[108717, 90014, 53853, 37556, 37214, 27923, 24285, 21136, 14488, 12995, 11561, 8290, 5754, 3782, 3054]
歌手：Mathieu Edward / Sheryfa Luna,所属专辑：Entre Toi Et Moi,Comme Avant,16920109,1222,[918, 545, 376, 298, 244, 136, 78, 38]
歌手：Los Auténticos Decadentes,所属专辑：25 Aniversario En Vivo En El Palacio de los Deportes,Loco (Tu Forma De Ser) (En Vivo),16281506,107,[]
歌手：Los Auténticos Decadentes,所属专辑：25 Aniversario En Vivo En El Palacio de los Deportes,Cómo Me Voy A Olvidar (En Vivo),16281505,20,[]
歌手：Lene Marlin,所属专辑：Playing My Game,A Place Nearby,22566555,12707,[9074, 7187, 5196, 3441, 3113, 2960, 2551, 1797, 1519, 1319, 1187, 1029, 953, 809, 639]
歌手：Otilia,所属专辑：Prisionera (Remixes),Prisionera (Rino Aqua & MD DJ Remix Radio),531842654,15245,[49905, 40528, 16625, 16128, 8347, 8073, 5036, 4868, 4417, 3285, 2217, 1673, 1102, 1005, 964]
歌手：唐伯虎Annie,所属专辑：有些爱情放不下,有些爱情放不下,545350530,8955,[10599, 5873, 4067, 2357, 1943, 1645, 1628, 1625, 1175, 781, 606, 486, 483, 416, 346]
歌手：Lutricia McNeal,所属专辑：Complete Best,Perfect Love,3009457,2527,[4562, 3205, 2439, 2148, 1796, 1752, 1126, 992, 907, 664, 650, 521, 467, 358, 79]
